partido;localidad;codigo_postal_manual;nombre establecimiento;sede/axo/ext;ubicacion_manual;cue;nueva_existente;nombre establecimiento a considerar;siglas;tipo de gesti�n;programa escuelas sustentables;direccion_manual;cargo;nombre;apellido;telefono_manual;mail_manual;matricula_2021;latitud_manual;longitud_manual;observaciones;;
Mar Chiquita;Camet Norte;7609;JARDIN DE INFANTES Nº909;SEDE;Urbano;CI4;Nueva;JARDIN DE INFANTES Nº909;JI 909;Pública;Escuela en Tránsito;Peña s/ nº e/ San Martin y Celestino;Director;Tamara;Tévez;(0223)155520083;jardin909marchiquita@abc.gob.ar;90;-37.8205531580;-57.495655472;;;7609 - CI4 - SEDE
Mar Chiquita;Camet Norte;7609;ESCUELA DE EDUCACIÓN PRIMARIA Nº 30;SEDE;Urbano;CI2;Nueva;ESCUELA DE EDUCACIÓN PRIMARIA Nº 30;EP 30;Pública;Escuela en Tránsito;Av. San Martin s/ nº e/ Luis Sáenz Peña;Director;Facundo;Bissio;(011)154139220;primaria30marchiquita@abc.gob.ar;265;-37.8209923086;-57.496253604;;;7609 - CI2 - SEDE
Mar Chiquita;Camet Norte;7609;INSTITUTO DE FORMACIÓN TECNICA N°238;SEDE;Urbano;CI25;Nueva;INSTITUTO DE FORMACIÓN TECNICA N°238;ISFT 238;Pública;;;Director;Leandro;Barone;223-5019099;ISFT238@abc.gob.ar;;-37.8209923086;-57.496253604;;;7609 - CI25 - SEDE
Mar Chiquita;Camet Norte;7609;ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº2;SEDE;Urbano;CI26;Nueva;ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº2;EST 2;Pública;;;Director;Fernando;Prieto;223-5356898 ;tecnica2marchiquita@abc.gob.ar;;-37.8210536796;-57.49662244;;;7609 - CI26 - SEDE
Mar Chiquita;Camet Norte;7609;ANEXO INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Nº 63;ANEXO;Urbano;CI3;Nueva;ANEXO INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Nº 63;ANEXO ISFDyT 63 (EP30);Pública;No;Av. San Martin s/ nº e/ Luis Sáenz Peña;Director;Sebastián;Sanabria;(02265)15419157;isfd63marchiquita@abc.gob.ar;;-37.8210982531;-57.496081165;;;7609 - CI3 - ANEXO
Mar Chiquita;Santa Clara del Mar;7309;"ESCUELA DE EDUCACIÓN PRIMARIA Nº8 ""MARTIN MIGUEL DE GÜEMES""";SEDE;Urbano;602185;Existente;"ESCUELA DE EDUCACIÓN PRIMARIA Nº8 ""MARTIN MIGUEL DE GÜEMES""";EP 8;Pública;Escuela en Tránsito;La Florida 1080;Director;Sofía;Flores;(0223)155575957;primaria8marchiquita@abc.gob.ar;645;-37.8292860000;-57.514901000;;;7309 - 602185 - SEDE
Mar Chiquita;Santa Clara del Mar;7309;ESCUELA ESPECIAL Nº503;SEDE;Urbano;620841;Existente;ESCUELA ESPECIAL Nº503;EE 503;Pública;Escuela en Tránsito;San Francisco nº 625;Director;Evangelina;Sánchez;(0223)5289827;especial503marchiquita@abc.gob.ar;60;-37.8322560000;-57.507603000;;Matricula: En sede 60 (Más propuesta inclusión y domiciliaria, hospitalaria);7309 - 620841 - SEDE
Mar Chiquita;Santa Clara del Mar;7309;JARDIN DE INFANTES Nº904;SEDE;Urbano;607966;Existente;JARDIN DE INFANTES Nº904;JI 904;Pública;No;Cardiff nº 567;Director;Sonia;Suarez;(0223)153046157;jardin904marchiquita@abc.gob.ar;285;-37.8338040000;-57.507686000;;;7309 - 607966 - SEDE
Mar Chiquita;Santa Clara del Mar;7309;ESCUELA PRIMARIA DE ADULTOS Nº 704;SEDE;Urbano;CI16;Nueva;ESCUELA PRIMARIA DE ADULTOS Nº 704;EEPA 704;Pública;Escuela en Tránsito;Punta Lara 490;"MC a 
cargo";Patricia;Soler;(0223)156348030;psoler4@abc.gob.ar;6;-37.8358579141;-57.507220986;;;7309 - CI16 - SEDE
Mar Chiquita;Santa Clara del Mar;7309;ESCUELA DE EDUCACIÓN SECUNDARIA Nº1;SEDE;Urbano;607979;Existente;ESCUELA DE EDUCACIÓN SECUNDARIA Nº1;ES 1;Pública;No;Bca. Los Lobos nº 475;Director;Marcela;Torrisi;(0223)155837123;secundaria1marchiquita@abc.gob.ar;703;-37.8361080000;-57.507104000;;;7309 - 607979 - SEDE
Mar Chiquita;Santa Elena;7609;ANEXO DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº1;ANEXO;Urbano;607979;Existente;ANEXO DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº1;ANEXO ES 1;Pública;No;Almagro y Colón;Director;Marcela;Torrisi;(0223)155837123;secundaria1marchiquita@abc.gob.ar;165;-37.8639711370;-57.517610737;;;7609 - 607979 - ANEXO
Mar Chiquita;Santa Elena;7609;ESCUELA DE EDUCACIÓN SECUNDARIA Nº6;SEDE;Urbano;CI27;Nueva;ESCUELA DE EDUCACIÓN SECUNDARIA Nº6;ES 6;Pública;No;Almagro y Colón;Director;María Etel;Yañez;0223-4693464 | 223-4230414;secundaria6marchiquita@abc.gob.ar;;-37.8639711370;-57.517610737;;;7609 - CI27 - SEDE
Mar Chiquita;Santa Elena;7609;JARDIN DE INFANTES Nº908;SEDE;Urbano;619031;Existente;JARDIN DE INFANTES Nº908;JI 908;Pública;No;Almagro y Colón;Director;Patricia;Romano;(0223)155777897;jardin908marchiquita@abc.gob.ar;150;-37.8640800000;-57.518263000;;;7609 - 619031 - SEDE
Mar Chiquita;Santa Clara del Mar;7309;ANEXO CENTRO DE FORMACIÓN LABORAL Nº 401;ANEXO;Urbano;CI8;Nueva;ANEXO CENTRO DE FORMACIÓN LABORAL Nº 401;ANEXO CFL 401;Pública;Escuela en Tránsito;Barranca de los Lobos 445;Director;Arturo;López;(0223)155054308;cfl401marchiquita@abc.gob.ar;171;-37.8641170000;-57.518157000;;;7309 - CI8 - ANEXO
Mar Chiquita;Santa Elena;7609;ESCUELA DE EDUCACIÓN PRIMARIA Nº29;SEDE;Urbano;614752;Existente;ESCUELA DE EDUCACIÓN PRIMARIA Nº29;EP 29;Pública;Escuela en Tránsito;Almagro 272;Director;Claudia;Godoy;(0223)155247684;primaria29marchiquita@abc.gob.ar;201;-37.8642858520;-57.517617485;;;7609 - 614752 - SEDE
